anon_learner_id,course_title,domain,category,level,course_length_hours,certification_type,completion_rate_percent,score_obtained_percent,duration_spent_hours,lms_source,course_start,course_end
b72fcbead71f,Instructional Design Principles,Business,Core,Intermediate,1.2,Diploma,90.03,89.79,1.39,Sakai,2025-07-04,2025-07-04
93bff6561725,Cloud Computing Fundamentals,Cloud,Workshop,Intermediate,6.96,Certificate of Completion,58.41,73.89,4.24,Moodle,2025-07-11,2025-07-11
dbff1e18e485,Instructional Design Principles,Cloud,Elective,Advanced,3.59,None,78.23,88.0,2.61,Open edX,2023-01-01,2023-01-01
94f13ff22f4e,Cybersecurity Basics,Statistics,Elective,Beginner,5.58,None,25.79,36.87,1.43,Moodle,2023-09-11,2023-09-11
e906177a3f6a,User Experience Design,Cloud,Core,Advanced,5.97,Professional Certificate,83.6,46.91,3.56,Sakai,2023-09-06,2023-09-06
aa96cbe68f90,Cybersecurity Basics,Cloud,Core,Intermediate,13.8,None,83.19,83.06,13.94,Sakai,2023-02-22,2023-02-22
78e4060cae10,Cloud Computing Fundamentals,Business,Elective,Intermediate,4.09,None,56.38,60.89,2.31,Canvas,2023-01-29,2023-01-29
b9ae21d6230e,Statistics for Research,Business,Core,Advanced,5.32,Professional Certificate,70.12,57.09,3.31,Canvas,2024-07-21,2024-07-21
f1a96078d6b7,Cloud Computing Fundamentals,Cloud,Elective,Intermediate,5.78,Diploma,30.37,75.87,1.36,Moodle,2026-11-13,2026-11-13
8c8284aab4c8,Advanced Python Programming,Design,Core,Intermediate,1.5,Certificate of Completion,65.17,73.06,1.11,Open edX,2023-06-18,2023-06-18
fe343966b776,Pedagogy in Digital Learning,Data Science,Core,Beginner,6.49,None,83.73,100.0,4.75,Sakai,2024-07-29,2024-07-29
615f950dd184,Educational Psychology,Data Science,Core,Beginner,22.42,Certificate of Completion,43.67,75.99,8.2,Moodle,2023-07-06,2023-07-06
176fd2bf5708,Educational Psychology,Business,Elective,Beginner,17.63,Badge,36.05,88.77,4.49,Canvas,2023-06-21,2023-06-21
489d5654f8b5,Web Development Bootcamp,Computer Science,Certification,Advanced,7.17,Certificate of Completion,55.93,91.51,4.07,Open edX,2023-09-15,2023-09-15
85320447254a,Cybersecurity Basics,Computer Science,Core,Intermediate,24.03,Certificate of Completion,47.23,75.93,10.12,Blackboard,2024-04-08,2024-04-09
e4534f6bae13,Advanced Python Programming,Design,Elective,Beginner,7.32,Certificate of Completion,8.42,,0.67,Blackboard,2025-01-03,2025-01-03
992ced00bf7f,Statistics for Research,Education,Core,Beginner,5.15,None,19.23,51.08,1.21,Chamilo,2024-02-21,2024-02-21
18c64c64677d,Database Design,Computer Science,Elective,Intermediate,6.02,None,34.04,81.79,1.59,Chamilo,2023-11-04,2023-11-04
cc5a7269516c,Introduction to Data Science,Design,Core,Intermediate,3.21,Certificate of Completion,11.27,62.71,0.31,Moodle,2024-05-05,2024-05-05
3e18ef5641c1,Database Design,Computer Science,Certification,Advanced,10.14,Badge,47.99,59.69,3.9,Open edX,2024-04-14,2024-04-14
13d80709c87d,Project Management Essentials,Computer Science,Core,Intermediate,3.43,Certificate of Completion,11.38,64.0,0.4,Totara,2023-01-08,2023-01-08
3cd3c1c470a9,Cybersecurity Basics,Computer Science,Core,Advanced,6.63,Certificate of Completion,59.11,60.94,4.21,Canvas,2023-10-21,2023-10-21
8ad8101fef63,Cloud Computing Fundamentals,Education,Elective,Beginner,4.93,Badge,23.74,85.7,1.47,Sakai,2024-04-08,2024-04-08
9c41c3cca5c8,Project Management Essentials,Business,Core,Advanced,4.47,None,57.68,98.33,2.19,Blackboard,2024-06-09,2024-06-09
e9af3018129e,Database Design,Design,Core,Intermediate,10.96,Professional Certificate,35.81,54.94,4.05,Brightspace,2023-03-06,2023-03-06
e6f39da709c2,Database Design,Data Science,Workshop,Beginner,6.35,None,47.64,55.12,3.28,Totara,2026-04-18,2026-04-18
8405ae17c770,Statistics for Research,Statistics,Elective,Beginner,1.94,None,91.27,76.95,1.35,Totara,2024-03-21,2024-03-21
7cad7eed99d6,Advanced Python Programming,Computer Science,Core,Beginner,4.7,Professional Certificate,41.61,52.52,2.27,Sakai,2024-04-20,2024-04-20
d449d30891a5,User Experience Design,Cloud,Seminar,Intermediate,5.44,Badge,36.13,81.76,1.54,Chamilo,2023-06-15,2023-06-15
18d81241122e,Machine Learning Fundamentals,Data Science,Elective,Beginner,8.93,None,61.42,92.81,4.12,Brightspace,2023-07-06,2023-07-06
7a06b6a3b548,Cloud Computing Fundamentals,Education,Elective,Expert,2.6,Certificate of Completion,40.77,89.5,1.1,Open edX,2023-10-04,2023-10-04
05fbf9f4283c,Project Management Essentials,Education,Elective,Intermediate,4.41,None,69.35,47.1,2.65,Canvas,2024-10-13,2024-10-13
eab6213c7389,Instructional Design Principles,Data Science,Elective,Beginner,10.39,Diploma,87.28,92.49,10.66,Moodle,2024-05-22,2024-05-22
ace9074ece32,Database Design,Cloud,Core,Intermediate,6.29,None,80.34,70.2,5.81,Brightspace,2023-06-10,2023-06-10
87037dd18261,Advanced Python Programming,Security,Elective,Intermediate,8.11,None,31.07,58.09,1.94,Open edX,2023-08-01,2023-08-01
2baeccc038dd,Introduction to Data Science,Cloud,Core,Beginner,1.15,Certificate of Completion,79.77,89.23,1.12,Chamilo,2024-02-25,2024-02-25
5110d8cc9355,Pedagogy in Digital Learning,Computer Science,Workshop,Advanced,4.26,Certificate of Completion,46.15,58.28,2.55,Moodle,2023-07-18,2023-07-18
bd4a332820d0,Database Design,Security,Elective,Advanced,18.39,Professional Certificate,18.93,95.03,2.86,Moodle,2023-11-15,2023-11-15
817149739e6a,Cybersecurity Basics,Computer Science,Elective,Beginner,3.31,Badge,35.41,61.22,1.47,Brightspace,2023-12-03,2023-12-03
fec47b9b3376,User Experience Design,Data Science,Workshop,Intermediate,6.1,Certificate of Completion,59.08,70.66,2.85,Canvas,2024-05-07,2024-05-07
3efe27c17a74,Educational Psychology,Business,Elective,Intermediate,11.94,Certificate of Completion,72.41,53.52,8.41,Moodle,2023-04-13,2023-04-13
b41a598ccb76,Introduction to Data Science,Data Science,Elective,Intermediate,8.53,Diploma,51.37,79.36,3.28,Brightspace,2025-06-18,2025-06-18
50da578322e2,Pedagogy in Digital Learning,Data Science,Core,Intermediate,2.01,Certificate of Completion,36.5,77.22,0.94,Totara,2023-02-02,2023-02-02
7d46bac9ca98,User Experience Design,Computer Science,Workshop,Beginner,16.26,Badge,25.34,67.55,3.95,Brightspace,2023-05-22,2023-05-22
5b06272b37bb,Educational Psychology,Data Science,Core,Beginner,4.38,Professional Certificate,58.29,86.62,2.35,Blackboard,2023-02-26,2023-02-26
9b3947e057d3,Database Design,Data Science,Certification,Expert,13.08,Certificate of Completion,42.83,59.73,7.07,Canvas,2024-01-02,2024-01-02
46e4193cbebe,Cloud Computing Fundamentals,Design,Elective,Beginner,4.96,None,24.03,79.3,1.06,Chamilo,2023-12-13,2023-12-13
44e689d9501d,Instructional Design Principles,Security,Elective,Intermediate,7.89,Certificate of Completion,35.33,64.73,3.45,Sakai,2023-04-30,2023-04-30
3de1cc49502e,User Experience Design,Security,Seminar,Beginner,4.92,None,49.25,58.41,2.55,Moodle,2024-11-20,2024-11-20
26199c3cd117,Database Design,Statistics,Certification,Intermediate,3.68,None,29.18,68.8,0.82,Blackboard,2026-01-07,2026-01-07
90ed3cb1c0ff,User Experience Design,Data Science,Workshop,Beginner,10.87,Professional Certificate,75.48,100.0,8.8,Moodle,2023-05-11,2023-05-11
9d74ccc4991c,Educational Psychology,Data Science,Core,Expert,3.1,Professional Certificate,37.53,93.93,0.97,Totara,2028-04-26,2028-04-26
1ad084219454,Database Design,Computer Science,Elective,Intermediate,6.07,Professional Certificate,65.33,69.7,3.71,Totara,2023-06-18,2023-06-18
8f8f99943635,User Experience Design,Security,Elective,Advanced,3.65,None,61.62,69.9,2.82,Blackboard,2023-05-23,2023-05-23
7f2ca94e2510,Introduction to Data Science,Business,Workshop,Advanced,10.14,None,66.27,73.59,7.03,Canvas,2025-02-08,2025-02-08
389c95e60ae3,Cloud Computing Fundamentals,Statistics,Certification,Intermediate,7.03,None,64.25,47.3,5.25,Chamilo,2024-11-20,2024-11-20
da04406b806d,Pedagogy in Digital Learning,Cloud,Elective,Intermediate,13.01,Certificate of Completion,68.68,66.12,9.35,Brightspace,2024-02-12,2024-02-12
14e18dcf7887,Statistics for Research,Computer Science,Elective,Intermediate,13.2,Professional Certificate,45.85,78.91,5.98,Brightspace,2023-02-21,2023-02-21
5bcc85db7e97,Introduction to Data Science,Statistics,Core,Advanced,5.37,Certificate of Completion,74.46,91.56,5.16,Moodle,2026-08-13,2026-08-13
607c056b2c7b,Cloud Computing Fundamentals,Computer Science,Certification,Intermediate,7.95,Certificate of Completion,57.33,56.36,5.72,Open edX,2023-03-22,2023-03-22
fa5f91919067,Pedagogy in Digital Learning,Computer Science,Workshop,Beginner,6.27,None,14.55,63.26,0.72,Moodle,2023-02-10,2023-02-10
f9ff1233a917,Project Management Essentials,Computer Science,Core,Expert,13.59,None,85.02,87.02,8.43,Moodle,2027-01-19,2027-01-19
4e9ffaa179b2,Database Design,Design,Core,Beginner,3.41,Certificate of Completion,86.3,44.08,2.09,Canvas,2023-06-28,2023-06-28
a8a415a4f2f3,Project Management Essentials,Security,Core,Advanced,12.16,Certificate of Completion,91.45,91.79,10.62,Totara,2023-07-24,2023-07-24
7e926d6cdbe7,Cybersecurity Basics,Design,Seminar,Advanced,2.52,Certificate of Completion,40.16,76.17,0.91,Blackboard,2023-06-21,2023-06-21
4a9968c9d761,Advanced Python Programming,Computer Science,Elective,Beginner,15.53,Professional Certificate,14.41,98.69,1.91,Moodle,2023-02-10,2023-02-10
d60a0ad71079,Database Design,Design,Certification,Intermediate,4.92,Badge,12.66,83.14,0.47,Brightspace,2024-03-18,2024-03-18
67da28164bf2,User Experience Design,Business,Certification,Beginner,11.37,None,58.77,68.33,8.45,Sakai,2023-05-06,2023-05-06
568a1d6ab17d,Introduction to Data Science,Security,Elective,Advanced,7.35,Certificate of Completion,89.99,87.54,6.8,Canvas,2023-09-06,2023-09-06
e6f0ae8275f4,Web Development Bootcamp,Computer Science,Core,Intermediate,4.85,Certificate of Completion,79.87,90.39,4.76,Moodle,2025-12-26,2025-12-26
a26b3f764cd1,Pedagogy in Digital Learning,Business,Core,Intermediate,14.24,None,66.55,99.29,12.11,Open edX,2023-04-28,2023-04-28
521436d7cb22,Project Management Essentials,Education,Elective,Intermediate,4.86,Certificate of Completion,74.75,75.95,3.51,Moodle,2023-08-20,2023-08-20
671c2c53118d,Statistics for Research,Business,Core,Beginner,10.2,Badge,60.66,63.28,5.83,Sakai,2023-08-29,2023-08-29
7a97b7773232,Database Design,Business,Seminar,Intermediate,10.0,None,98.7,70.44,9.46,Moodle,2024-09-13,2024-09-13
b30d224a9f5a,User Experience Design,Cloud,Core,Intermediate,7.42,None,38.44,55.77,2.95,Blackboard,2023-05-14,2023-05-14
476bd32edde1,Educational Psychology,Cloud,Core,Beginner,9.22,None,49.22,93.15,4.26,Moodle,2023-01-18,2023-01-18
7e448f0267a1,User Experience Design,Education,Core,Intermediate,4.53,Certificate of Completion,33.89,75.9,1.98,Canvas,2023-08-14,2023-08-14
34851ed4cdc1,Pedagogy in Digital Learning,Data Science,Certification,Beginner,3.99,Certificate of Completion,42.6,92.41,1.3,Sakai,2025-03-08,2025-03-08
7f2657dea4ec,Database Design,Data Science,Elective,Beginner,3.32,Professional Certificate,43.91,97.2,1.44,Moodle,2024-02-06,2024-02-06
93f342d32cdb,Pedagogy in Digital Learning,Design,Core,Expert,9.26,Professional Certificate,44.58,24.65,4.72,Canvas,2023-02-23,2023-02-23
000bed48ec36,Database Design,Cloud,Elective,Intermediate,9.25,Certificate of Completion,31.81,78.83,2.8,Moodle,2023-12-03,2023-12-03
3785494a0f2d,Pedagogy in Digital Learning,Cloud,Core,Intermediate,4.45,None,78.43,96.4,3.2,Blackboard,2025-05-13,2025-05-13
bed511007baa,Machine Learning Fundamentals,Data Science,Seminar,Beginner,5.25,Badge,74.01,77.43,4.42,Brightspace,2023-03-10,2023-03-10
c624d153bdab,Project Management Essentials,Data Science,Core,Beginner,4.11,None,53.88,60.32,1.6,Blackboard,2023-07-08,2023-07-08
d116f503d92d,Project Management Essentials,Security,Seminar,Intermediate,3.79,Badge,91.44,56.18,2.55,Totara,2024-03-31,2024-03-31
6edc6a282055,Cloud Computing Fundamentals,Business,Seminar,Advanced,11.05,Professional Certificate,47.06,56.8,4.79,Moodle,2023-04-01,2023-04-01
b9021dfd49d0,Database Design,Statistics,Elective,Beginner,3.56,None,48.04,73.65,1.37,Blackboard,2023-02-09,2023-02-09
2eaf3f329b85,Introduction to Data Science,Education,Core,Beginner,25.76,Certificate of Completion,38.55,65.08,8.98,Canvas,2024-03-14,2024-03-15
9c79f13a3c3e,Educational Psychology,Computer Science,Seminar,Beginner,4.98,Professional Certificate,52.77,84.76,2.93,Brightspace,2024-06-03,2024-06-03
fa09df883cce,Project Management Essentials,Statistics,Core,Advanced,7.65,None,28.98,83.0,1.65,Canvas,2025-08-17,2025-08-17
f36b93772644,Machine Learning Fundamentals,Cloud,Elective,Expert,6.53,None,29.65,65.56,1.43,Open edX,2024-09-10,2024-09-10
fabf9c4ff1a9,User Experience Design,Security,Core,Intermediate,2.1,Certificate of Completion,44.56,61.61,0.74,Chamilo,2024-07-09,2024-07-09
a90b2cbac0b3,Machine Learning Fundamentals,Design,Workshop,Beginner,14.03,None,22.44,61.28,4.04,Canvas,2023-04-02,2023-04-02
9717df212048,Machine Learning Fundamentals,Data Science,Core,Beginner,4.04,Certificate of Completion,96.97,34.85,4.97,Moodle,2023-04-14,2023-04-14
d9c5da0ca18f,Educational Psychology,Security,Workshop,Beginner,5.48,Professional Certificate,55.77,43.8,2.49,Canvas,2024-04-04,2024-04-04
dce1baafdf62,Advanced Python Programming,Computer Science,Seminar,Intermediate,16.2,None,42.25,63.35,6.46,Canvas,2023-04-01,2023-04-01
5b428aaeb09f,Introduction to Data Science,Statistics,Core,Intermediate,8.83,Certificate of Completion,53.08,94.49,4.69,Sakai,2023-04-20,2023-04-20
d0f3a787ac43,Cybersecurity Basics,Data Science,Elective,Beginner,6.72,Certificate of Completion,83.63,100.0,6.89,Blackboard,2023-08-04,2023-08-04
868ee2f70463,Database Design,Business,Seminar,Beginner,6.12,None,70.5,61.66,4.18,Totara,2026-09-14,2026-09-14
dfce22593c5e,Database Design,Design,Core,Beginner,14.97,None,17.23,84.44,3.15,Canvas,2024-01-05,2024-01-05
c232ee924b25,Advanced Python Programming,Cloud,Certification,Beginner,15.85,Certificate of Completion,57.75,69.06,6.63,Chamilo,2024-08-30,2024-08-30
7b9a46fa1c83,Web Development Bootcamp,Design,Core,Beginner,2.95,Professional Certificate,18.23,90.45,0.54,Sakai,2023-05-10,2023-05-10
64cd2535e6a7,Project Management Essentials,Statistics,Core,Intermediate,1.67,None,32.61,64.48,0.43,Canvas,2023-01-31,2023-01-31
562881ac36a8,User Experience Design,Education,Certification,Beginner,8.92,None,71.02,68.69,6.84,Moodle,2023-07-29,2023-07-29
0477930f64b0,Statistics for Research,Security,Seminar,Beginner,7.3,Professional Certificate,41.83,94.66,2.44,Canvas,2024-10-28,2024-10-28
5f0f0bb84ad6,User Experience Design,Computer Science,Certification,Intermediate,2.14,Certificate of Completion,80.63,76.4,1.97,Chamilo,2023-09-03,2023-09-03
c37c8284efab,Pedagogy in Digital Learning,Security,Elective,Beginner,6.12,Certificate of Completion,65.52,41.31,4.84,Canvas,2023-07-10,2023-07-10
48e62361e52c,Cloud Computing Fundamentals,Cloud,Certification,Beginner,7.06,None,66.47,79.51,3.72,Moodle,2026-03-28,2026-03-28
5a5c6f032188,Project Management Essentials,Computer Science,Core,Advanced,3.22,Certificate of Completion,36.45,83.67,1.0,Canvas,2023-04-05,2023-04-05
61abd76121e4,Educational Psychology,Statistics,Certification,Intermediate,9.16,Certificate of Completion,26.18,54.56,3.05,Sakai,2024-06-06,2024-06-06
b369fdf1a608,Machine Learning Fundamentals,Cloud,Workshop,Advanced,3.4,None,72.3,71.0,2.49,Chamilo,2025-03-22,2025-03-22
16965eb2ebd9,Project Management Essentials,Statistics,Seminar,Intermediate,6.74,Professional Certificate,24.92,54.48,1.2,Open edX,2024-04-30,2024-04-30
79d47f370259,Web Development Bootcamp,Business,Elective,Beginner,8.28,Certificate of Completion,25.81,76.94,2.11,Open edX,2023-01-06,2023-01-06
36f58ffbc271,Cybersecurity Basics,Design,Core,Advanced,1.08,Diploma,33.91,78.01,0.34,Brightspace,2023-02-08,2023-02-08
12a3dc70300a,Web Development Bootcamp,Data Science,Seminar,Expert,10.6,Certificate of Completion,17.39,91.92,2.24,Sakai,2025-11-17,2025-11-17
70fedf9051e0,Cybersecurity Basics,Cloud,Elective,Advanced,6.16,Certificate of Completion,60.44,92.09,4.61,Sakai,2024-08-12,2024-08-12
07ec76c86130,Advanced Python Programming,Data Science,Certification,Advanced,18.08,None,25.89,79.91,4.99,Canvas,2025-06-11,2025-06-11
335f656a3ce9,Machine Learning Fundamentals,Computer Science,Workshop,Beginner,10.59,Certificate of Completion,30.11,79.34,3.85,Canvas,2023-03-14,2023-03-14
03e75347e8e7,Statistics for Research,Business,Workshop,Beginner,16.9,Certificate of Completion,46.23,62.72,6.4,Open edX,2025-05-01,2025-05-01
e7830af4178f,Database Design,Computer Science,Seminar,Beginner,5.57,Badge,90.09,75.43,5.08,Blackboard,2023-02-13,2023-02-13
a4466a24d670,Project Management Essentials,Computer Science,Core,Advanced,2.24,None,39.49,79.07,0.8,Blackboard,2023-11-03,2023-11-03
c85e56b47e1d,Pedagogy in Digital Learning,Statistics,Seminar,Intermediate,1.07,Professional Certificate,73.92,51.07,0.98,Brightspace,2026-02-04,2026-02-04
51715dca9f05,Machine Learning Fundamentals,Computer Science,Workshop,Advanced,8.21,Certificate of Completion,19.6,78.99,1.96,Open edX,2023-11-02,2023-11-02
824ae2f2b5f0,Pedagogy in Digital Learning,Education,Core,Beginner,5.24,None,70.48,64.86,4.41,Totara,2023-07-11,2023-07-11
3a54df2bf2dc,User Experience Design,Data Science,Core,Intermediate,2.17,None,35.88,75.66,0.76,Blackboard,2024-11-21,2024-11-21
07e341dc3710,Cloud Computing Fundamentals,Security,Elective,Beginner,8.0,Certificate of Completion,3.13,,0.24,Moodle,2024-10-01,2024-10-01
c1c7ffc9d6dc,Project Management Essentials,Security,Elective,Intermediate,5.82,Certificate of Completion,45.81,62.02,3.38,Moodle,2023-04-02,2023-04-02
c0c90fc9b059,Web Development Bootcamp,Data Science,Core,Intermediate,1.34,Diploma,54.73,81.2,0.69,Chamilo,2023-05-29,2023-05-29
07e85fbe6c0b,Statistics for Research,Education,Certification,Intermediate,4.54,Diploma,28.6,75.25,1.54,Canvas,2024-04-06,2024-04-06
01931f02c75e,Educational Psychology,Cloud,Core,Beginner,2.61,Professional Certificate,92.17,78.53,3.02,Canvas,2024-05-28,2024-05-28
fd295d63e6c9,Database Design,Computer Science,Seminar,Beginner,24.44,Badge,60.14,57.67,16.21,Sakai,2023-07-15,2023-07-16
36f75ccf40c9,Database Design,Design,Core,Beginner,1.15,None,59.81,52.11,0.83,Brightspace,2024-09-07,2024-09-07
7ace271db955,Educational Psychology,Cloud,Core,Intermediate,7.89,Professional Certificate,69.32,69.94,5.62,Blackboard,2024-07-09,2024-07-09
f41e8220db0d,Introduction to Data Science,Computer Science,Core,Beginner,8.38,None,52.8,79.5,3.26,Open edX,2023-01-09,2023-01-09
24f2bd6c238c,Cloud Computing Fundamentals,Cloud,Elective,Intermediate,10.84,None,52.54,54.65,6.34,Open edX,2023-05-24,2023-05-24
b7b336b061d0,Cloud Computing Fundamentals,Education,Certification,Advanced,6.07,None,44.67,84.0,2.28,Moodle,2023-03-23,2023-03-23
107ccc853990,Database Design,Computer Science,Core,Intermediate,10.97,Certificate of Completion,20.88,87.62,2.59,Canvas,2023-01-13,2023-01-13
aba204207449,Machine Learning Fundamentals,Business,Core,Advanced,6.9,Badge,23.91,64.56,1.24,Blackboard,2023-05-13,2023-05-13
b7bc8fd9192d,Introduction to Data Science,Data Science,Elective,Beginner,9.17,Certificate of Completion,53.86,81.58,4.31,Blackboard,2024-08-19,2024-08-19
f7f43a5e5987,Web Development Bootcamp,Cloud,Elective,Beginner,4.81,None,83.0,72.64,3.1,Brightspace,2024-09-30,2024-09-30
27be117788ba,Pedagogy in Digital Learning,Design,Elective,Beginner,3.61,Professional Certificate,38.58,70.64,1.42,Brightspace,2023-03-01,2023-03-01
40f077dd9803,Educational Psychology,Design,Elective,Beginner,7.33,Certificate of Completion,51.01,85.16,3.09,Blackboard,2023-02-06,2023-02-06
22e721c5af9e,Cybersecurity Basics,Computer Science,Elective,Intermediate,5.53,Certificate of Completion,88.08,58.0,4.93,Brightspace,2024-09-23,2024-09-23
b86e5bc68a4f,Instructional Design Principles,Data Science,Core,Intermediate,3.22,Certificate of Completion,16.87,88.25,0.59,Brightspace,2025-03-25,2025-03-25
eb5717d1abfa,Cloud Computing Fundamentals,Cloud,Elective,Expert,4.18,None,75.03,79.34,2.25,Brightspace,2024-04-29,2024-04-29
da851aadc1c9,Statistics for Research,Security,Elective,Intermediate,4.81,Professional Certificate,36.15,76.79,1.36,Open edX,2024-05-14,2024-05-14
39d4be1e7b51,Database Design,Computer Science,Core,Beginner,12.38,None,43.16,65.11,6.0,Sakai,2023-02-24,2023-02-24
1ec9c12b672a,Statistics for Research,Statistics,Core,Beginner,14.7,Certificate of Completion,22.03,98.53,2.45,Moodle,2023-09-07,2023-09-07
f3d666ca1c61,Introduction to Data Science,Security,Core,Beginner,1.58,Certificate of Completion,75.31,100.0,1.42,Canvas,2025-08-02,2025-08-02
97820670f3c2,User Experience Design,Business,Elective,Intermediate,2.85,Diploma,26.82,72.73,0.93,Blackboard,2023-12-27,2023-12-27
42f891744ad9,Project Management Essentials,Data Science,Elective,Beginner,3.47,None,70.84,76.9,3.05,Chamilo,2023-05-23,2023-05-23
37c8fc5f2a9d,Project Management Essentials,Business,Elective,Intermediate,3.27,Badge,24.99,71.7,1.03,Moodle,2023-03-26,2023-03-26
d1bdc37ee7bd,Machine Learning Fundamentals,Cloud,Core,Advanced,8.95,None,22.83,72.87,2.16,Sakai,2023-03-30,2023-03-30
f68e79dfedd2,Instructional Design Principles,Computer Science,Core,Advanced,6.81,None,40.84,92.34,2.59,Canvas,2025-03-23,2025-03-23
f11a0cdeb0bd,Statistics for Research,Statistics,Elective,Intermediate,4.92,Professional Certificate,81.96,86.87,4.74,Moodle,2023-06-01,2023-06-01
3156e0a05873,Project Management Essentials,Education,Seminar,Advanced,5.8,Certificate of Completion,85.75,79.69,4.82,Canvas,2023-03-27,2023-03-27
ad4c7210516b,Database Design,Education,Elective,Beginner,9.51,Certificate of Completion,46.94,57.76,5.79,Moodle,2023-11-08,2023-11-08
b7a2c657e73e,Introduction to Data Science,Statistics,Workshop,Advanced,5.38,Professional Certificate,72.05,72.51,4.47,Sakai,2023-03-30,2023-03-30
8cc1e41b3d91,Instructional Design Principles,Business,Core,Beginner,7.79,Certificate of Completion,45.88,78.8,3.58,Open edX,2023-05-14,2023-05-14
d9e732abf9dd,User Experience Design,Statistics,Core,Intermediate,9.31,Certificate of Completion,53.72,88.67,4.45,Totara,2024-03-11,2024-03-11
761eea76bd36,Educational Psychology,Design,Elective,Beginner,11.78,Professional Certificate,95.37,93.84,8.8,Canvas,2023-01-27,2023-01-27
3d1cad44eab9,User Experience Design,Data Science,Core,Intermediate,11.49,Certificate of Completion,55.49,74.97,4.61,Moodle,2024-05-30,2024-05-30
88cd92bd8526,Project Management Essentials,Business,Core,Intermediate,3.39,Certificate of Completion,47.85,56.66,1.89,Moodle,2023-08-10,2023-08-10
6bcc9180edac,Web Development Bootcamp,Education,Core,Intermediate,14.73,Certificate of Completion,17.82,83.2,1.97,Canvas,2023-09-19,2023-09-19
8e3cceb2841a,Project Management Essentials,Data Science,Elective,Beginner,8.4,Professional Certificate,84.27,91.24,7.85,Totara,2023-06-18,2023-06-18
0c2d92b7c5e8,Machine Learning Fundamentals,Education,Core,Beginner,10.79,Diploma,78.55,69.59,7.77,Moodle,2024-11-01,2024-11-01
8924ba54f21e,Introduction to Data Science,Statistics,Elective,Beginner,2.08,None,82.1,85.47,1.68,Blackboard,2023-01-29,2023-01-29
236bfdc45ca1,Cloud Computing Fundamentals,Computer Science,Elective,Beginner,6.68,Professional Certificate,47.54,71.3,2.8,Totara,2024-12-14,2024-12-14
2d6af74f8602,Educational Psychology,Cloud,Certification,Intermediate,7.68,Badge,75.72,73.93,6.4,Moodle,2024-07-12,2024-07-12
